color_id,name,rgb,hsv,rgb_std,rank,grayscale
147,Rosy Brown,"{188,143,143}","{0,0.239362,0.737255}",21.2132,1,f
95,Light Coral,"{240,128,128}","{0,0.466667,0.941176}",52.7973,2,f
72,Floral White,"{255,250,240}","{0.111111,0.0588235,1}",6.2361,126,t
76,Ghost White,"{248,248,255}","{0.666667,0.027451,1}",3.29983,127,t
169,White,"{255,255,255}","{0,0,1}",0,132,t
170,White Smoke,"{245,245,245}","{0,0,0.960784}",0,133,t
155,Silver (W3C),"{192,192,192}","{0,0,0.752941}",0,136,t
75,Gainsboro,"{220,220,220}","{0,0,0.862745}",0,134,t
159,Snow,"{255,250,250}","{0,0.0196078,1}",2.35702,131,t
102,Light Sea Green,"{32,178,170}","{0.490868,0.820225,0.698039}",67.0191,72,f
120,Medium Turquoise,"{72,209,204}","{0.493917,0.655502,0.819608}",63.4368,73,f
33,Azure,"{240,255,255}","{0.5,0.0588235,1}",7.07107,74,f
96,Light Cyan,"{224,255,255}","{0.5,0.121569,1}",14.6135,75,f
136,Pale Turquoise,"{175,238,238}","{0.5,0.264706,0.933333}",29.6985,76,f
31,Aqua,"{0,255,255}","{0.5,1,1}",120.208,77,f
98,Light Gray,"{211,211,211}","{0,0,0.827451}",0,135,t
79,Gray (X11),"{190,190,190}","{0,0,0.745098}",0,137,t
53,Dark Gray,"{169,169,169}","{0,0,0.662745}",0,138,t
104,Light Slate Gray,"{119,136,153}","{0.583333,0.222222,0.6}",13.8804,139,t
158,Slate Gray,"{112,128,144}","{0.583333,0.222222,0.564706}",13.0639,140,t
80,Gray (W3C),"{128,128,128}","{0,0,0.501961}",0,141,t
69,Dim Gray,"{105,105,105}","{0,0,0.411765}",0,142,t
64,Dark Slate Gray,"{47,79,79}","{0.5,0.405063,0.309804}",15.0849,143,t
173,Black (Custom),"{46,45,50}","{0.7,0.1,0.196078}",2.16025,144,t
36,Black,"{0,0,0}","{0,0,0}",0,145,t
30,Antique White,"{250,235,215}","{0.0952381,0.14,0.980392}",14.3372,26,t
126,Navajo White,"{255,222,173}","{0.0995935,0.321569,1}",33.6881,28,t
86,Indian Red,"{205,92,92}","{0,0.55122,0.803922}",53.2687,3,f
40,Brown,"{165,42,42}","{0,0.745455,0.647059}",57.9828,4,f
71,Firebrick,"{178,34,34}","{0,0.808989,0.698039}",67.8822,5,f
60,Dark Red,"{139,0,0}","{0,1,0.545098}",65.5252,6,f
112,Maroon (W3C),"{127,0,0}","{0,1,0.498039}",59.8684,7,f
146,Red,"{255,0,0}","{0,1,1}",120.208,8,f
124,Misty Rose,"{255,228,225}","{0.0166667,0.117647,1}",13.4907,9,f
150,Salmon,"{250,128,114}","{0.0171569,0.544,0.980392}",61.0792,10,f
165,Tomato,"{255,99,71}","{0.0253623,0.721569,1}",80.9499,11,f
61,Dark Salmon,"{233,150,122}","{0.042042,0.476395,0.913725}",47.1334,12,f
45,Coral,"{255,127,80}","{0.0447619,0.686275,1}",73.9504,13,f
132,Orange Red,"{255,69,0}","{0.045098,1,1}",107.694,14,f
101,Light Salmon,"{255,160,122}","{0.047619,0.521569,1}",55.9345,15,f
154,Sienna,"{160,82,45}","{0.0536232,0.71875,0.627451}",47.9328,16,f
44,Chocolate,"{210,105,30}","{0.0694444,0.857143,0.823529}",73.8241,17,f
149,Saddle Brown,"{139,69,19}","{0.0694444,0.863309,0.545098}",49.2161,18,f
151,Sandy Brown,"{244,164,96}","{0.0765766,0.606557,0.956863}",60.4869,19,f
139,Peach Puff,"{255,218,185}","{0.0785714,0.27451,1}",28.5929,20,f
140,Peru,"{205,133,63}","{0.0821596,0.692683,0.803922}",57.9732,21,f
35,Bisque,"{255,228,196}","{0.0903955,0.231373,1}",24.1155,23,f
58,Dark Orange,"{255,140,0}","{0.0915033,1,1}",104.27,24,f
41,Burlywood,"{222,184,135}","{0.0938697,0.391892,0.870588}",35.6121,25,f
162,Tan,"{210,180,140}","{0.0952381,0.333333,0.823529}",28.6744,27,f
37,Blanched Almond,"{255,235,205}","{0.1,0.196078,1}",20.548,29,f
138,Papaya Whip,"{255,239,213}","{0.103175,0.164706,1}",17.3077,30,f
125,Moccasin,"{255,228,181}","{0.105856,0.290196,1}",30.576,31,f
131,Orange,"{255,165,0}","{0.107843,1,1}",105.594,32,f
168,Wheat,"{245,222,179}","{0.108586,0.269388,0.960784}",27.3537,33,f
128,Old Lace,"{253,245,230}","{0.108696,0.0909091,0.992157}",9.53357,34,f
52,Dark Goldenrod,"{184,134,11}","{0.118497,0.940217,0.721569}",72.6927,35,f
78,Goldenrod,"{218,165,32}","{0.119176,0.853211,0.854902}",78.2404,36,f
47,Cornsilk,"{255,248,220}","{0.133333,0.137255,1}",15.1217,37,f
77,Gold,"{255,215,0}","{0.140523,1,1}",111.977,38,f
93,Lemon Chiffon,"{255,250,205}","{0.15,0.196078,1}",22.4846,39,f
89,Khaki,"{240,230,140}","{0.15,0.416667,0.941176}",44.9691,40,f
134,Pale Goldenrod,"{238,232,170}","{0.151961,0.285714,0.933333}",30.739,41,f
55,Dark Khaki,"{189,183,107}","{0.154472,0.433862,0.741176}",37.3214,42,f
34,Beige,"{245,245,220}","{0.166667,0.102041,0.960784}",11.7851,44,f
106,Light Yellow,"{255,255,224}","{0.166667,0.121569,1}",14.6135,45,f
97,Light Goldenrod,"{250,250,210}","{0.166667,0.16,0.980392}",18.8562,46,f
129,Olive,"{128,128,0}","{0.166667,1,0.501961}",60.3398,47,f
171,Yellow,"{255,255,0}","{0.166667,1,1}",120.208,48,f
130,Olive Drab,"{107,142,35}","{0.221184,0.753521,0.556863}",44.5446,49,f
172,Yellow Green,"{154,205,50}","{0.221505,0.756098,0.803922}",64.4998,50,f
57,Dark Olive Green,"{85,107,47}","{0.227778,0.560748,0.419608}",24.7835,51,f
83,Green Yellow,"{173,255,47}","{0.232372,0.815686,1}",85.5466,52,f
43,Chartreuse,"{127,255,0}","{0.250327,1,1}",104.104,53,f
92,Lawn Green,"{124,252,0}","{0.251323,1,0.988235}",102.883,54,f
84,Honeydew,"{240,255,240}","{0.333333,0.0588235,1}",7.07107,55,f
62,Dark Sea Green,"{143,188,143}","{0.333333,0.239362,0.737255}",21.2132,56,f
135,Pale Green,"{152,251,152}","{0.333333,0.394422,0.984314}",46.669,57,f
99,Light Green,"{144,238,144}","{0.333333,0.394958,0.933333}",44.312,58,f
73,Forest Green,"{34,139,34}","{0.333333,0.755396,0.545098}",49.4975,59,f
108,Lime Green,"{50,205,50}","{0.333333,0.756098,0.803922}",73.0677,60,f
88,Ivory,"{255,255,240}","{0.166667,0.0588235,1}",7.07107,43,t
109,Linen,"{250,240,230}","{0.0833333,0.08,0.980392}",8.16497,22,t
54,Dark Green,"{0,100,0}","{0.333333,1,0.392157}",47.1405,61,f
81,Green (X11),"{0,255,0}","{0.333333,1,1}",120.208,62,f
82,Green (W3C),"{0,128,0}","{0.333333,1,0.501961}",60.3398,63,f
107,Lime (W3C),"{0,255,0}","{0.333333,1,1}",120.208,64,f
152,Sea Green,"{46,139,87}","{0.40681,0.669065,0.545098}",38.0555,65,f
117,Medium Sea Green,"{60,179,113}","{0.407563,0.664804,0.701961}",48.6781,66,f
160,Spring Green,"{0,255,127}","{0.41634,1,1}",104.104,67,f
119,Medium Spring Green,"{0,250,154}","{0.436,1,0.980392}",102.974,68,f
113,Medium Aquamarine,"{102,205,170}","{0.443366,0.502439,0.803922}",42.7629,69,f
32,Aquamarine,"{127,255,212}","{0.44401,0.501961,1}",53.1852,70,f
166,Turquoise,"{64,224,208}","{0.483333,0.714286,0.878431}",71.9506,71,f
49,Cyan,"{0,255,255}","{0.5,1,1}",120.208,78,f
51,Dark Cyan,"{0,139,139}","{0.5,1,0.545098}",65.5252,79,f
163,Teal,"{0,128,128}","{0.5,1,0.501961}",60.3398,80,f
65,Dark Turquoise,"{0,206,209}","{0.502392,1,0.819608}",97.8241,81,f
42,Cadet Blue,"{95,158,160}","{0.505128,0.40625,0.627451}",30.1809,82,f
143,Powder Blue,"{176,224,230}","{0.518519,0.234783,0.901961}",24.1661,83,f
94,Light Blue,"{173,216,230}","{0.540936,0.247826,0.901961}",24.2533,84,f
68,Deep Sky Blue,"{0,191,255}","{0.54183,1,1}",108.322,85,f
156,Sky Blue,"{135,206,235}","{0.548333,0.425532,0.921569}",42.0079,86,f
103,Light Sky Blue,"{135,206,250}","{0.563768,0.46,0.980392}",47.3779,87,f
161,Steel Blue,"{70,130,180}","{0.575758,0.611111,0.705882}",44.9691,88,f
70,Dodger Blue,"{30,144,255}","{0.582222,0.882353,1}",91.8586,89,f
105,Light Steel Blue,"{176,196,222}","{0.594203,0.207207,0.870588}",18.8326,90,f
46,Cornflower,"{100,149,237}","{0.607056,0.578059,0.929412}",56.6804,91,f
148,Royal Blue,"{65,105,225}","{0.625,0.711111,0.882353}",67.9869,92,f
90,Lavender,"{230,230,250}","{0.666667,0.08,0.980392}",9.42809,93,f
122,Midnight Blue,"{25,25,112}","{0.666667,0.776786,0.439216}",41.0122,94,f
38,Blue,"{0,0,255}","{0.666667,1,1}",120.208,95,f
50,Dark Blue,"{0,0,139}","{0.666667,1,0.545098}",65.5252,96,f
114,Medium Blue,"{0,0,205}","{0.666667,1,0.803922}",96.6379,97,f
127,Navy,"{0,0,128}","{0.666667,1,0.501961}",60.3398,98,f
157,Slate Blue,"{106,90,205}","{0.689855,0.560976,0.803922}",50.8615,99,f
63,Dark Slate Blue,"{72,61,139}","{0.690171,0.561151,0.545098}",34.4706,100,f
118,Medium Slate Blue,"{123,104,238}","{0.690298,0.563025,0.933333}",59.2002,101,f
116,Medium Purple,"{147,112,219}","{0.721184,0.488584,0.858824}",44.5446,102,f
39,Blue Violet,"{138,43,226}","{0.753188,0.809735,0.886275}",74.7277,103,f
87,Indigo,"{75,0,130}","{0.762821,1,0.509804}",53.2812,104,f
144,Purple (X11),"{160,32,240}","{0.769231,0.866667,0.941176}",85.666,105,f
59,Dark Orchid,"{153,50,204}","{0.778139,0.754902,0.8}",64.0538,106,f
66,Dark Violet,"{148,0,211}","{0.78357,1,0.827451}",88.4396,107,f
115,Medium Orchid,"{186,85,211}","{0.800265,0.597156,0.827451}",54.4692,108,f
164,Thistle,"{216,191,216}","{0.833333,0.115741,0.847059}",11.7851,109,f
142,Plum,"{221,160,221}","{0.833333,0.276018,0.866667}",28.7557,110,f
167,Violet,"{238,130,238}","{0.833333,0.453782,0.933333}",50.9117,111,f
56,Dark Magenta,"{139,0,139}","{0.833333,1,0.545098}",65.5252,112,f
74,Fuchsia,"{255,0,255}","{0.833333,1,1}",120.208,113,f
110,Magenta,"{255,0,255}","{0.833333,1,1}",120.208,114,f
145,Purple (W3C),"{127,0,127}","{0.833333,1,0.498039}",59.8684,115,f
133,Orchid,"{218,112,214}","{0.839623,0.486239,0.854902}",49.0533,116,f
121,Medium Violet Red,"{199,21,133}","{0.895131,0.894472,0.780392}",73.4726,117,f
67,Deep Pink,"{255,20,147}","{0.909929,0.921569,1}",96.0428,118,f
85,Hot Pink,"{255,105,180}","{0.916667,0.588235,1}",61.2372,119,f
111,Maroon (X11),"{176,48,96}","{0.9375,0.727273,0.690196}",52.7973,120,f
137,Pale Violet Red,"{219,112,147}","{0.945483,0.488584,0.858824}",44.5446,121,f
48,Crimson,"{220,20,60}","{0.966667,0.909091,0.862745}",86.4099,122,f
141,Pink,"{255,192,203}","{0.970899,0.247059,1}",27.4752,123,f
100,Light Pink,"{255,182,193}","{0.974886,0.286275,1}",32.1351,124,f
29,Alice Blue,"{240,248,255}","{0.577778,0.0588235,1}",6.12826,125,f
91,Lavender Blush,"{255,240,245}","{0.944444,0.0588235,1}",6.2361,128,f
123,Mint Cream,"{245,255,250}","{0.416667,0.0392157,1}",4.08248,129,f
153,Seashell,"{255,245,238}","{0.0686275,0.0666667,1}",6.97615,130,f
